Whisk_Name,Whisk_Type,Whisk_Loc,Communal_Rating,Distiller_Score,URL
LAPHROAIG 28 YEAR,Peated Single Malt,"Islay, Scotland",4.44,94,https://distiller.com/spirits/laphroaig-28-year
BENRIACH ALBARIZA 22 YEAR,Peated Single Malt,"Speyside, Scotland",4.34,nan,https://distiller.com/spirits/benriach-albariza-22-year
BOWMORE TEMPEST 10 YEAR BATCH 6,Peated Single Malt,"Islay, Scotland",3.44,nan,https://distiller.com/spirits/bowmore-tempest-10-year-batch-6
BENRIACH 2005 12 YEAR PEATED PORT WOOD FINISH SINGLE CASK #2683,Peated Single Malt,"Speyside, Scotland",3.81,nan,https://distiller.com/spirits/benriach-2005-12-year-peated-port-wood-finish-single-cask-2683
GLENGLASSAUGH OCTAVES PEATED,Peated Single Malt,"Highlands, Scotland",3.75,nan,https://distiller.com/spirits/glenglassaugh-octaves-peated
BOWMORE THE DEVIL'S CASK II 10 YEAR,Peated Single Malt,"Islay, Scotland",4.0,nan,https://distiller.com/spirits/bowmore-the-devil-s-cask-ii-10-year
ANCNOC BLACK HILL RESERVE,Peated Single Malt,"HIghlands, Scotland",3.59,nan,https://distiller.com/spirits/ancnoc-black-hill-reserve
GLEN GARIOCH 1991,Peated Single Malt,"Highlands, Scotland",4.0,88,https://distiller.com/spirits/glen-garioch-1991
SPRINGBANK RUM WOOD FINISH 16 YEAR,Peated Single Malt,"Campbeltown, Scotland",3.81,91,https://distiller.com/spirits/springbank-rum-wood-finish-16-year
PORT CHARLOTTE 16 YEAR,Peated Single Malt,"Islay, Scotland",4.04,nan,https://distiller.com/spirits/port-charlotte-16-year
GLENGARRY SINGLE MALT PEATED AND SMOKY,Peated Single Malt,"Highland, Scotland",2.7,nan,https://distiller.com/spirits/glengarry-single-malt-peated-and-smoky
ANCNOC RÙDHAN,Peated Single Malt,"Highlands, Scotland",3.45,nan,https://distiller.com/spirits/ancnoc-rudhan
BUNNAHABHAIN 2007 MÒINE OLOROSO FINISH FÈIS ÌLE 2018,Peated Single Malt,"Islay, Scotland",4.43,nan,https://distiller.com/spirits/bunnahabhain-2007-moine-oloroso-finish-feis-ile-2018
CAOL ILA 10 YEAR FÈIS ÌLE 2018,Peated Single Malt,"Islay, Scotland",3.82,nan,https://distiller.com/spirits/caol-ila-10-year-feis-ile-2018
KILCHOMAN MADEIRA CASK MATURED,Peated Single Malt,"Islay, Scotland",3.96,nan,https://distiller.com/spirits/kilchoman-madeira-cask-matured
BRORA 34 YEAR (2017 SPECIAL RELEASE),Peated Single Malt,"Highlands, Scotland",4.46,91,https://distiller.com/spirits/brora-34-year-2017-special-release
OCTOMORE OBA CONCEPT,Peated Single Malt,"Islay, Scotland",4.43,92,https://distiller.com/spirits/octomore-oba-concept
"CAOL ILA 2010 6 YEAR ""FÈIS ÌLE 2017"" PROVENANCE (DOUGLAS LAING)",Peated Single Malt,"Islay, Scotland",3.75,83,https://distiller.com/spirits/provenance-caol-ila-6-year-feis-ile-2017-bottling
ABHAINN DEARG SINGLE MALT,Peated Single Malt,"Islands, Scotland",1.71,nan,https://distiller.com/spirits/abhainn-dearg-single-malt
BOWMORE 2002 12 YEAR UN-CHILLFILTERED COLLECTION (SIGNATORY),Peated Single Malt,"Islay, Scotland",4.36,nan,https://distiller.com/spirits/signatory-2002-bowmore-12-year
OCTOMORE 02.2/140 ORPHEUS,Peated Single Malt,"Islay, Scotland",4.71,nan,https://distiller.com/spirits/octomore-2-2-140-orpheus
BENRIACH AUTHENTICUS 21 YEAR,Peated Single Malt,"Speyside, Scotland",4.14,nan,https://distiller.com/spirits/benriach-authenticus-21-year
ANCNOC BARROW,Peated Single Malt,"Highlands, Scotland",4.21,nan,https://distiller.com/spirits/ancnoc-barrow
TALISKER 175TH ANNIVERSARY,Peated Single Malt,"Islands, Scotland",4.36,86,https://distiller.com/spirits/talisker-175th-anniversary
BRUICHLADDICH 2012 PORT CHARLOTTE HEAVILY PEATED,Peated Single Malt,"I slay, Scotland",3.79,nan,https://distiller.com/spirits/bruichladdich-2012-port-charlotte-heavily-peated
PORT CHARLOTTE PAC:01 2011,Peated Single Malt,"Islay, Scotland",4.17,88,https://distiller.com/spirits/port-charlotte-pac-01-2011
ANCNOC PEATED EDITION,Peated Single Malt,"Hignland, Scotland",3.54,nan,https://distiller.com/spirits/ancnoc-peated-edition
PORT CHARLOTTE ISLAY BARLEY 2008,Peated Single Malt,"Islay, Scotland",4.31,nan,https://distiller.com/spirits/port-charlotte-islay-barley-2008
ANCNOC FLAUGHTER,Peated Single Malt,"Highlands, Scotland",3.31,86,https://distiller.com/spirits/ancnoc-flaughter
PORT ELLEN 32 YEAR 1979 (2012 SPECIAL RELEASE),Peated Single Malt,"Islay, Scotland",4.87,98,https://distiller.com/spirits/port-ellen-32-year-1979-2012-special-release
BENRIACH ARUMATICUS FUMOSUS 12 YEAR,Peated Single Malt,"Speyside, Scotland",3.79,87,https://distiller.com/spirits/benriach-arumaticus-fumosus-12-year
ARDBEG SCORCH (2021 COMMITTEE RELEASE),Peated Single Malt,"Islay, Scotland",3.77,nan,https://distiller.com/spirits/ardbeg-scorch-2021-committee-release
PORT CHARLOTTE OLC:01 2010,Peated Single Malt,"Islay, Scotland",4.14,nan,https://distiller.com/spirits/port-charlotte-olc-01-2010
LONGROW RED 11 YEAR CABERNET FRANC,Peated Single Malt,"Campbeltown, Scotland",4.14,nan,https://distiller.com/spirits/longrow-red-11-year-cabernet-franc
OCTOMORE MASTERCLASS 08.4/170 VIRGIN OAK,Peated Single Malt,"Islay, Scotland",4.28,92,https://distiller.com/spirits/octomore-masterclass-08-4-170-virgin-oak
BOWMORE 23 YEAR PORT CASK MATURED 1989,Peated Single Malt,"Islay, Scotland",4.16,92,https://distiller.com/spirits/bowmore-23-year-port-cask-matured-1989
BENRIACH AUTHENTICUS 25 YEAR,Peated Single Malt,"Speyside, Scotland",4.34,84,https://distiller.com/spirits/benriach-authenticus-25-year
ARDBEG ARRRRRRRDBEG!,Peated Single Malt,"Islay, Scotland",4.18,90,https://distiller.com/spirits/ardbeg-arrrrrrrdbeg
CAOL ILA 13 YEAR DISCOVERY (GORDON & MACPHAIL),Peated Single Malt,"Islay, Scotland",3.74,86,https://distiller.com/spirits/caol-ila-13-year-discovery-gordon-macphail
OCTOMORE 09.2 DIALOGOS,Peated Single Malt,"Islay, Scotland",4.24,93,https://distiller.com/spirits/octomore-09-2-dialogos
TALISKER 8 YEAR (2018 SPECIAL RELEASE),Peated Single Malt,"Islands, Scotland",4.45,nan,https://distiller.com/spirits/talisker-8-year-2018-special-release
LONGROW 14 YEAR SHERRY CASK MATURED,Peated Single Malt,"Campbeltown, Scotland",3.75,nan,https://distiller.com/spirits/longrow-14-year-sherry-cask-matured
BENRIACH TEMPORIS 21 YEAR,Peated Single Malt,"Speyside, Scotland",4.12,nan,https://distiller.com/spirits/benriach-temporis-21-year
GLEN SCOTIA 1832 CAMPBELTOWN,Peated Single Malt,"Campbeltown, Scotland",3.82,82,https://distiller.com/spirits/glen-scotia-1832-campbeltown
SPRINGBANK GREEN 13 YEAR,Peated Single Malt,"Campbeltown , Scotland",4.14,88,https://distiller.com/spirits/springbank-green-13-year
LONGROW RED 11 YEAR FRESH PORT CASKS,Peated Single Malt,"Campbeltown, Scotland",3.89,nan,https://distiller.com/spirits/longrow-red-11-year-fresh-port-casks
KILCHOMAN LOCH GORM (2020 EDITION),Peated Single Malt,"Islay , Scotland",3.97,nan,https://distiller.com/spirits/kilchoman-loch-gorm-2020-edition
PORT CHARLOTTE ISLAY BARLEY 2012,Peated Single Malt,"Islay, Scotland",3.88,nan,https://distiller.com/spirits/port-charlotte-islay-barley-2012
LAPHROAIG 10 YEAR CASK STRENGTH BATCH #011,Peated Single Malt,"Islay, Scotland",4.52,nan,https://distiller.com/spirits/laphroaig-10-year-cask-strength-batch-011
PORT ASKAIG 10 YEAR 10TH ANNIVERSARY,Peated Single Malt,"Islay, Scotland",4.08,88,https://distiller.com/spirits/port-askaig-10-year-10th-anniversary
BOWMORE VINTNER'S TRILOGY 26 YEAR FRENCH OAK BARRIQUE,Peated Single Malt,"Islay, Scotland",4.53,97,https://distiller.com/spirits/bowmore-26-year-wine-matured
KILCHOMAN 100% ISLAY 6TH EDITION,Peated Single Malt,"Islay, Scotland",3.81,nan,https://distiller.com/spirits/kilchoman-100-islay-6th-edition
HIGHLAND PARK AMBASSADOR'S CHOICE 10 YEAR,Peated Single Malt,"Islands, Scotland",3.43,85,https://distiller.com/spirits/highland-park-ambassador-s-choice-10-year
KILCHOMAN FINO SHERRY MATURED,Peated Single Malt,"Islay, Scotland",3.82,nan,https://distiller.com/spirits/kilchoman-fino-sherry-matured
OCTOMORE 10.4/88 VIRGIN OAK,Peated Single Malt,"Islay, Scotland",4.38,88,https://distiller.com/spirits/octomore-10-4-88-virgin-oak
KILCHOMAN 100% ISLAY 9TH EDITION,Peated Single Malt,"Islay, Scotland",3.84,88,https://distiller.com/spirits/kilchoman-100-islay-9th-edition
ARRAN MACHRIE MOOR,Peated Single Malt,"Isle of Arran, Scotland",3.76,nan,https://distiller.com/spirits/arran-machrie-moor
LAGAVULIN DISTILLERY EXCLUSIVE 2017,Peated Single Malt,"Islay, Scotland",4.27,nan,https://distiller.com/spirits/lagavulin-distillery-exclusive-2017
BUNNAHABHAIN 13 YEAR MARSALA FINISH,Peated Single Malt,"Islay, Scotland",4.37,nan,https://distiller.com/spirits/bunnahabhain-13-year-marsala-finish
CAOL ILA NATURAL CASK STRENGTH,Peated Single Malt,"Islay, Scotland",4.26,nan,https://distiller.com/spirits/caol-ila-natural-cask-strength
ARDBEG RENAISSANCE,Peated Single Malt,"Islay, Scotland",3.85,nan,https://distiller.com/spirits/ardbeg-renaissance
STRONACHIE 18 YEAR,Peated Single Malt,"Speyside, Scotland",3.87,91,https://distiller.com/spirits/stronachie-18-year
HIGHLAND PARK 40 YEAR,Peated Single Malt,"Islands, Scotland",4.41,96,https://distiller.com/spirits/highland-park-40
BENROMACH 10,Peated Single Malt,"Speyside, Scotland",3.94,nan,https://distiller.com/spirits/benromach-10
KILCHOMAN VINTAGE 2010,Peated Single Malt,"Islay, Scotland",4.28,91,https://distiller.com/spirits/kilchoman-vintage-2010
GLEN SCOTIA CAMPBELTOWN MALTS FESTIVAL 2019 RUM CASK FINISH,Peated Single Malt,"Campbeltown, Scotland",4.18,nan,https://distiller.com/spirits/glen-scotia-campbeltown-malts-festival-2019-rum-cask-finish
LAPHROAIG 21 YEAR (FRIENDS OF LAPHROAIG),Peated Single Malt,"Islay, Scotland",4.38,nan,https://distiller.com/spirits/laphroaig-21-year-friends-of-laphroaig
PORT ASKAIG 15 YEAR,Peated Single Malt,"Islay, Scotland",3.72,nan,https://distiller.com/spirits/port-askaig-15-year
BENROMACH TRADITIONAL,Peated Single Malt,"Speyside, Scotland",3.22,nan,https://distiller.com/spirits/benromach-traditional
KILCHOMAN MACHIR BAY CASK STRENGTH (2020 FESTIVE EDITION),Peated Single Malt,"Islay, Scotland",4.1,92,https://distiller.com/spirits/kilchoman-machir-bay-cask-strength-2020-festive-edition
GLEN SCOTIA CAMPBELTOWN MALTS FESTIVAL 2020 TAWNY PORT FINISH,Peated Single Malt,"Campbeltown, Scotland",3.67,nan,https://distiller.com/spirits/glen-scotia-campbeltown-malts-festival-2020-tawny-port-finish
LAPHROAIG 2005 12 YEAR CASK STRENGTH (ALEXANDER MURRAY & CO.),Peated Single Malt,"Islay, Scotland",4.09,nan,https://distiller.com/spirits/laphroaig-2005-12-year-cask-strength-alexander-murray-co
LAGAVULIN 2000 DISTILLERS EDITION (BOTTLED 2016),Peated Single Malt,"Islay, Scotland",4.39,nan,https://distiller.com/spirits/lagavulin-2000-distillers-edition-bottled-2016
OBAN 21 YEAR (2018 SPECIAL RELEASE),Peated Single Malt,"Highlands, Scotland",4.09,nan,https://distiller.com/spirits/oban-21-year-2018-special-release
GLENGLASSAUGH PEATED PORT WOOD FINISH,Peated Single Malt,"Highlands, Scotland",4.32,nan,https://distiller.com/spirits/glenglassaugh-peated-port-wood-finish
BOWMORE VINTNER'S TRILOGY 18 YEAR DOUBLE MATURED MANZANILLA,Peated Single Malt,"Islay, Scotland",4.29,93,https://distiller.com/spirits/bowmore-18-year-double-matured-manzanilla
BRORA 1977 38 YEAR (2016 SPECIAL RELEASE),Peated Single Malt,"Highlands, Scotland",4.87,92,https://distiller.com/spirits/brora-38-year-1977-2016-special-release
BENRIACH THE SMOKY TEN,Peated Single Malt,"Speyside, Scotland",3.84,88,https://distiller.com/spirits/benriach-the-smoky-ten
KILCHOMAN SAUTERNES CASK FINISH,Peated Single Malt,"Islay, Scotland",3.81,80,https://distiller.com/spirits/kilchoman-sauternes-cask-finish
ARDBEG TWENTY SOMETHING 23 YEAR,Peated Single Malt,"Islay, Scotland",4.69,nan,https://distiller.com/spirits/ardbeg-twenty-something-23-year
HIGHLAND PARK THOR,Peated Single Malt,"Islands, Scotland",4.25,93,https://distiller.com/spirits/highland-park-thor
KIRKLAND ISLAY SINGLE MALT SCOTCH,Peated Single Malt,Scotland,3.64,nan,https://distiller.com/spirits/kirkland-islay-single-malt-scotch
TALISKER 15 YEAR (2019 SPECIAL RELEASE),Peated Single Malt,"Islands, Scotland",4.14,nan,https://distiller.com/spirits/talisker-15-year-2019-special-release
SPRINGBANK 10 YEAR LOCAL BARLEY,Peated Single Malt,"Campbeltown, Scotland",3.88,89,https://distiller.com/spirits/springbank-10-year-local-barley
TOMATIN CÙ BÒCAN 2005 VINTAGE,Peated Single Malt,"HIghlands, Scotland",3.71,nan,https://distiller.com/spirits/tomatin-cu-bocan-2005-vintage
PORT CHARLOTTE PC12 OILEANACH FURACHAIL,Peated Single Malt,"Islay, Scotland",4.33,90,https://distiller.com/spirits/port-charlotte-pc12-oileanach-furachail
SHIELDAIG HIGHLAND SINGLE MALT,Peated Single Malt,"Highlands, Scotland",3.29,nan,https://distiller.com/spirits/shieldaig-highland-single-malt
CAOL ILA 30 YEAR (2014 SPECIAL RELEASE),Peated Single Malt,"Islay, Scotland",4.64,95,https://distiller.com/spirits/caol-ila-30-year-2014-special-release
LAGAVULIN 12 YEAR (2019 SPECIAL RELEASE),Peated Single Malt,"Islay, Scotland",4.05,nan,https://distiller.com/spirits/lagavulin-12-year-2019-special-release
KILCHOMAN LOCH GORM (2018 EDITION),Peated Single Malt,"Islay, Scotland",3.84,79,https://distiller.com/spirits/kilchoman-loch-gorm-2018-edition
LAPHROAIG CAIRDEAS 15 YEAR,Peated Single Malt,"Islay, Scotland",4.18,nan,https://distiller.com/spirits/laphroaig-cairdeas-15-year
LAGAVULIN JAZZ FESTIVAL 2015,Peated Single Malt,"Islay, Scotland",4.51,95,https://distiller.com/spirits/lagavulin-jazz-festival-2015
ELEMENTS OF ISLAY PEAT,Peated Single Malt,"Islay, Scotland",3.51,nan,https://distiller.com/spirits/elements-of-islay-peat
PORT CHARLOTTE PC11 EÒRNA NA H-ALBA,Peated Single Malt,"Islay, Scotland",3.75,92,https://distiller.com/spirits/port-charlotte-pc11-eorna-na-h-alba
CAOL ILA 2001 MOSCATEL FINISH DISTILLER'S EDITION,Peated Single Malt,"Islay, Scotland",4.27,nan,https://distiller.com/spirits/caol-ila-2001-moscatel-finish-distiller-s-edition
TALISKER 8 YEAR (2020 SPECIAL RELEASE),Peated Single Malt,"Islands, Scotland",4.08,90,https://distiller.com/spirits/talisker-8-year-2020-special-release
LONGROW RED 11 YEAR PINOT NOIR CASK MATURED,Peated Single Malt,"Campbeltown, Scotland",4.2,nan,https://distiller.com/spirits/longrow-red-11-year-pinot-noir-cask-matured
KILCHOMAN 100% ISLAY 8TH EDITION,Peated Single Malt,"Islay, Scotland",4.09,86,https://distiller.com/spirits/kilchoman-100-islay-8th-edition
LAPHROAIG 27 YEAR (2017 RELEASE),Peated Single Malt,"Islay, Scotland",4.53,nan,https://distiller.com/spirits/laphroaig-27-year-2017-release
ARDBEG 21 YEAR,Peated Single Malt,"Islay, Scotland",4.45,87,https://distiller.com/spirits/ardbeg-21-year
HIGHLAND PARK 8 YEAR THE MACPHAIL'S COLLECTION (GORDON & MACPHAIL),Peated Single Malt,"Islands, Scotland",3.45,nan,https://distiller.com/spirits/highland-park-8-year-gordon-macphail
KILKERRAN WORK IN PROGRESS #5 SHERRY WOOD,Peated Single Malt,"Campbeltown, Scotland",3.64,nan,https://distiller.com/spirits/kilkerran-single-malt-wip-5-sherry-matured
CAOL ILA 2004 CASK STRENGTH (GORDON & MACPHAIL),Peated Single Malt,"Islay, Scotland",3.94,nan,https://distiller.com/spirits/caol-ila-cask-strength-2004-gordon-macphail
OCTOMORE 06.2/167 CUVEE EDITION,Peated Single Malt,"Islay, Scotland",4.49,nan,https://distiller.com/spirits/octomore-06-2-167-cuvee-edition
STRONACHIE 12 YEAR,Peated Single Malt,"Speyside, Scotland",3.61,90,https://distiller.com/spirits/stronachie-12-year
PORT CHARLOTTE PC7 SIN AN DOIGH ILEACH,Peated Single Malt,"Islay, Scotland",4.57,94,https://distiller.com/spirits/port-charlotte-pc-7-sin-an-doigh-ileach
OBAN DISTILLERS EDITION (2020 RELEASE),Peated Single Malt,"Highlands, Scotland",4.02,94,https://distiller.com/spirits/oban-distillers-edition-2020-release
OCTOMORE 10.3/114 ISLAY BARLEY,Peated Single Malt,"Islay, Scotland",4.11,90,https://distiller.com/spirits/octomore-10-3-114-islay-barley
BENROMACH PEAT SMOKE SHERRY CASK MATURED 2010,Peated Single Malt,"Speyside, Scotland",3.94,91,https://distiller.com/spirits/benromach-peat-smoke-sherry-cask-matured-2010
LAGAVULIN 16 - WHITE HORSE DISTILLERS,Peated Single Malt,"ISLAY, Scotland",4.22,nan,https://distiller.com/spirits/lagavulin-16-white-horse-distillers
BENRIACH PEATED QUARTER CASK,Peated Single Malt,"Speyside, Scotland",3.67,nan,https://distiller.com/spirits/benriach-peated-quarter-cask
FINLAGGAN CASK STRENGTH ISLAY SINGLE MALT,Peated Single Malt,"Islay, Scotland",3.33,85,https://distiller.com/spirits/finlaggan-cask-strength-islay-single-malt
GLEN GARIOCH 1995,Peated Single Malt,"Highlands, Scotland",3.97,87,https://distiller.com/spirits/glen-garioch-1995
KILCHOMAN COULL POINT,Peated Single Malt,"Islay, Scotland",3.67,88,https://distiller.com/spirits/kilchoman-coull-point
LAGAVULIN 12 YEAR (2020 SPECIAL RELEASE),Peated Single Malt,"Islay, Scotland",4.2,91,https://distiller.com/spirits/lagavulin-12-year-2020-special-release
KILKERRAN HEAVILY PEATED BATCH #1,Peated Single Malt,"Campeltown, Scotland",3.52,nan,https://distiller.com/spirits/kilkerran-heavily-peated-batch-1
BUNNAHABHAIN 2008 MÒINE BORDEAUX RED WINE CASK MATURED,Peated Single Malt,"Islay, Scotland",4.32,97,https://distiller.com/spirits/bunnahabhain-2008-moine-bordeaux-red-wine-cask-matured
ALLT A BHAINNE SINGLE MALT,Peated Single Malt,"Speyside, Scotland",3.07,nan,https://distiller.com/spirits/allt-a-bhainne-single-malt
CAOL ILA 35 YEAR (2018 SPECIAL RELEASE),Peated Single Malt,"Islay, Scotland",4.91,nan,https://distiller.com/spirits/caol-ila-35-year-2018-special-release
KILCHOMAN VINTAGE 2009,Peated Single Malt,"Islay, Scotland",3.93,88,https://distiller.com/spirits/kilchoman-vintage-2009
BOWMORE SURF,Peated Single Malt,"Islay, Scotland",3.23,nan,https://distiller.com/spirits/bowmore-surf
BENROMACH CASK STRENGTH 2003,Peated Single Malt,"Speyside, Scotland",3.73,85,https://distiller.com/spirits/benromach-cask-strength
LAGAVULIN 18 YEAR FÈIS ÌLE 2018,Peated Single Malt,"Islay, Scotland",4.31,nan,https://distiller.com/spirits/lagavulin-18-year-feis-ile-2018
ARRAN MACHRIE MOOR CASK STRENGTH 3RD EDITION,Peated Single Malt,"Arran, Scotland",3.79,nan,https://distiller.com/spirits/arran-machrie-moor-cask-strength-3rd-edition
JURA THE PAPS 19 YEAR,Peated Single Malt,"Islands, Scotland",3.87,nan,https://distiller.com/spirits/jura-the-paps-19-year
HIGHLAND PARK CASK STRENGTH EDITION (SCANDINAVIAN RELEASE),Peated Single Malt,"Islands, Scotland",3.54,nan,https://distiller.com/spirits/highland-park-cask-strength-edition
SPRINGBANK 14 YEAR BOURBON WOOD,Peated Single Malt,"Campbeltown , Scotland",4.51,92,https://distiller.com/spirits/springbank-14-year-bourbon-wood
HIGHLAND PARK 2001,Peated Single Malt,"Islands, Scotland",3.28,nan,https://distiller.com/spirits/highland-park-2001
LAGAVULIN 21 YEAR (2012 SPECIAL RELEASE),Peated Single Malt,"Islay, Scotland",4.4,93,https://distiller.com/spirits/lagavulin-21-year-2012-special-release
ARDBEG KILDALTON 2014,Peated Single Malt,"Islay, Scotland",4.08,nan,https://distiller.com/spirits/ardbeg-kildalton-2014
CRAGGANMORE 21 YEAR,Peated Single Malt,"Speyside, Scotland",3.97,91,https://distiller.com/spirits/cragganmore-21-year
KILKERRAN WORK IN PROGRESS #4,Peated Single Malt,"Campbeltown, Scotland",3.52,88,https://distiller.com/spirits/kilkerran-single-malt-wip-4
ARDBEG TRAIGH BHAN 19 YEAR 2020 EDITION,Peated Single Malt,"Islay, Scotland",4.36,91,https://distiller.com/spirits/ardbeg-traigh-bhan-19-year-2020-edition
BOWMORE 15 YEAR FÈIS ÌLE 2019,Peated Single Malt,"Islay, Scotland",4.02,93,https://distiller.com/spirits/bowmore-15-year-feis-ile-2019
DEANSTON 10 YEAR PEDRO XIMENEZ,Peated Single Malt,"Highland, Scotland",4.28,nan,https://distiller.com/spirits/deanston-10-year-px
KILKERRAN WORK IN PROGRESS #7 SHERRY WOOD,Peated Single Malt,"Campeltown, Scotland",4.02,87,https://distiller.com/spirits/kilkerran-work-in-progress-7-sherry-wood
LAGAVULIN FÈIS ÌLE 2015,Peated Single Malt,"Islay, Scotland",4.34,94,https://distiller.com/spirits/lagavulin-feis-ile-2015
KILKERRAN WORK IN PROGRESS #7 BOURBON WOOD,Peated Single Malt,"Campbeltown, Scotland",3.86,87,https://distiller.com/spirits/kilkerran-single-malt-wip-7-bourbon-matured
BOWMORE 15 YEAR MARINER,Peated Single Malt,"Islay, Scotland",3.84,nan,https://distiller.com/spirits/bowmore-15-year-mariner
KILCHOMAN MACHIR BAY 2013,Peated Single Malt,"Islay, Scotland",3.82,nan,https://distiller.com/spirits/kilchoman-machir-bay-2013
LONGROW 14 YEAR,Peated Single Malt,"Campbeltown, Scotland",3.77,nan,https://distiller.com/spirits/longrow-14
KILKERRAN HEAVILY PEATED BATCH #3,Peated Single Malt,"Campbeltown, Scotland",4.01,88,https://distiller.com/spirits/kilkerran-heavily-peated-batch-3
SMOKEHEAD RUM REBEL,Peated Single Malt,"Islay, Scotland",3.69,86,https://distiller.com/spirits/smokehead-rum-rebel
GLENDRONACH TRADITIONALLY PEATED,Peated Single Malt,"Highlands, Scotland",3.81,nan,https://distiller.com/spirits/glendronach-traditionally-peated
ARDBEG 2003 CASK STRENGTH SINGLE CASK,Peated Single Malt,"Islay, Scotland",3.4,nan,https://distiller.com/spirits/ardbeg-2003-cask-strength-single-cask
LAGAVULIN 1999 DISTILLERS EDITION (BOTTLED 2015),Peated Single Malt,"Islay, Scotland",4.13,nan,https://distiller.com/spirits/lagavulin-1999-distillers-edition-bottled-2015
ARDMORE TRADITIONAL PEATED,Peated Single Malt,"Highland , Scotland",3.69,nan,https://distiller.com/spirits/ardmore-traditional-peated
HIGHLAND PARK VIKING TRIBE,Peated Single Malt,"Orkney, Scotland",3.38,nan,https://distiller.com/spirits/highland-park-viking-tribe
LAPHROAIG CAIRDEAS 2012 ORIGIN EDITION,Peated Single Malt,"Islay, Scotland",4.31,nan,https://distiller.com/spirits/laphroaig-cairdeas-2012-origin-edition
