Whisk_Name,Whisk_Type,Whisk_Loc,Communal_Rating,Distiller_Score,URL
THE ARRAN MACHRIE MOORE CASK STRENGTH (5TH EDITION),Single Malt,"Islands, Scotland",3.39,nan,https://distiller.com/spirits/the-arran-machrie-moore-cask-strength-5th-edition
GLEN GARIOCH RENAISSANCE 17 CHAPITRE 3,Single Malt,"Highland, Scotland",3.71,nan,https://distiller.com/spirits/glen-garioch-renaissance-17-chapitre-3
GLENDRONACH BOYNSMILL 16 YEAR,Single Malt,"Highlands, Scotland",4.36,nan,https://distiller.com/spirits/glendronach-boynsmill-16-year
DALMORE CONSTELLATION 1979 CASK 1093 33 YEAR,Single Malt,"Highlands, Scotland",4.25,96,https://distiller.com/spirits/dalmore-constellation-1979-cask-1093-33-year
SPEYBURN 25 YEAR,Single Malt,"Highlands, Scotland",4.43,90,https://distiller.com/spirits/speyburn-25-year
ISLE OF RAASAY SIGNATURE SINGLE MALT BATCH 1,Single Malt,"Highland, Scotland",4.04,nan,https://distiller.com/spirits/isle-of-raasay-signature-single-malt-batch-1
TALISKER DISTILLERS EDITION 2001 - 2012,Single Malt,"Skye , Scotland",3.92,nan,https://distiller.com/spirits/talisker-distillers-edition-2001-2012
GLENKINCHIE DISTILLERS EDITION (2020 RELEASE),Single Malt,"Lowlands, Scotland",3.83,nan,https://distiller.com/spirits/glenkinchie-distillers-edition-2020-release
CRAGGANMORE DISTILLERS EDITION (2020 RELEASE),Single Malt,"Speyside, Scotland",3.96,nan,https://distiller.com/spirits/cragganmore-distillers-edition-2020-release
JURA WINTER EDITION,Single Malt,"Islands, Scotland",3.79,86,https://distiller.com/spirits/jura-winter-edition
MACALLAN 15,Single Malt,"Highland, Scotland",4.38,nan,https://distiller.com/spirits/macallan-15
GELFLING WING SEALANT (36.160 SMWS),Single Malt,"Speyside, Scotland",3.96,nan,https://distiller.com/spirits/gelfling-wing-sealant-36-160-smws
THE DALMORE VINTAGE 2007 AGED 10 YEARS,Single Malt,"Highland, Scotland",3.88,nan,https://distiller.com/spirits/the-dalmore-vintage-2007-aged-10-years
ARRAN THE CÔTE-RÔTIE CASK FINISH,Single Malt,"Islands, Scotland",4.04,nan,https://distiller.com/spirits/arran-the-cote-rotie-cask-finish
ABERLOUR CASG ANNAMH (BATCH 2),Single Malt,"Speyeside, Scotland",4,nan,https://distiller.com/spirits/aberlour-casg-annamh-batch-2
SPRINGBANK 10 YEAR LOCAL BARLEY (2019),Single Malt,"Campbeltown , Scotland",4.13,nan,https://distiller.com/spirits/springbank-10-year-local-barley-2019
PENCIL SHAVINGS FLOATING ON A ROCK POOL 66.142 (SMWS),Single Malt,"Highland, Scotland",3.79,nan,https://distiller.com/spirits/pencil-shavings-floating-on-a-rock-pool-66-142-smws
EDRADOUR BALLECHIN 8 YEARS,Single Malt,"Highlands, Scotland",3.75,nan,https://distiller.com/spirits/edradour-ballechin-8-years
TOBERMORY 10 YEARS OLD,Single Malt,"Isle of Mull, Scotland",3.79,nan,https://distiller.com/spirits/tobermory-10-years-old
EDRADOUR 2009 10 YEAR UN-CHILLFILTERED COLLECTION (SIGNATORY),Single Malt,"Highlands, Scotland",4.21,nan,https://distiller.com/spirits/edradour-2009-10-year-un-chillfiltered-collection-signatory
ANCNOC VINTAGE 2002,Single Malt,"Highlands, Scotland",3.71,87,https://distiller.com/spirits/ancnoc-vintage-2002
ARRAN THE BOTHY QUARTER CASK BATCH 4,Single Malt,"Isle of Arran, Scotland",3.9,nan,https://distiller.com/spirits/arran-the-bothy-quarter-cask-batch-4
BLAIR ATHOL 2007 11 YEAR 86 PROOF COLLECTION (SIGNATORY),Single Malt,"Highlands, Scotland",3.46,nan,https://distiller.com/spirits/blair-athol-2007-11-year-86-proof-collection-signatory
ABERLOUR WHITE OAK,Single Malt,"Speyside, Scotland",3.67,nan,https://distiller.com/spirits/aberlour-white-oak
GLENGOYNE TEAPOT DRAM BATCH NO. 006,Single Malt,"Highlands, Scotland",4.5,nan,https://distiller.com/spirits/glengoyne-teapot-dram-batch-6
GLEN MARNOCH SPEYSIDE SINGLE MALT SCOTCH WHISKY,Single Malt,"Speyside, Scotland",2.98,nan,https://distiller.com/spirits/glen-marnoch-speyside-single-malt-scotch-whisky
TALISKER DISTILLERS EDITION DOUBLE MATURED,Single Malt,"Isle of Skye , Scotland",3.42,nan,https://distiller.com/spirits/talisker-distillers-edition-double-matured
THE GLENROTHES MINISTER'S RESERVE 21 YEAR,Single Malt,"Speyside, Scotland",4.58,nan,https://distiller.com/spirits/the-glenrothes-minister-s-reserve-21-year
LISMORE 18 YEAR,Single Malt,"Speyside, Scotland",3.42,nan,https://distiller.com/spirits/lismore-18-year
DAFTMILL 2006 WINTER BATCH RELEASE (UK),Single Malt,"Lowlands, Scotland",4.42,nan,https://distiller.com/spirits/daftmill-2006-winter-batch-release-uk
GLENMORANGIE SHERRY WOOD FINISH,Single Malt,Scotland,3.38,nan,https://distiller.com/spirits/glenmorangie-sherry-wood-finish
LAPHROAIG CASK STRENGTH 2011 EDITION 25YO,Single Malt,"Islay, Scotland",4.58,nan,https://distiller.com/spirits/laphroaig-cask-strength-2011-edition-25yo
THE HALF CENTURY BLEND BATCH 3,Single Malt,Scotland,4.54,nan,https://distiller.com/spirits/the-half-century-blend-batch-3
1770 GLASGOW SINGLE MALT RELEASE NO. 1,Single Malt,"Lowlands , Scotland",3.02,nan,https://distiller.com/spirits/1770-glasgow-single-malt-release-no-1
ARDBEG LORD OF THE ISLES,Single Malt,"Islay, Scotland",4.83,nan,https://distiller.com/spirits/ardbeg-lord-of-the-isles
OBAN 15 YEAR 2001 MONTILLA FINO CASK DISTILLERS EDITION,Single Malt,"Highland, Scotland",4.29,nan,https://distiller.com/spirits/oban-15-year-2001-montilla-fino-cask-distillers-edition
ABERFELDY 28 YEAR,Single Malt,"Highlands, Scotland",4.83,nan,https://distiller.com/spirits/aberfeldy-28-year
ARDBEG VERY YOUNG (6 YEAR),Single Malt,"Islay, Scotland",3.96,nan,https://distiller.com/spirits/ardbeg-very-young-6-year
BRUICHLADDICH YELLOW SUBMARINE 1991,Single Malt,"Islay, Scotland",4.79,nan,https://distiller.com/spirits/bruichladdich-yellow-submarine-1991
THE BALVENIE DOUBLEWOOD 25 YEAR,Single Malt,"Speyside, Scotland",4.29,nan,https://distiller.com/spirits/the-balvenie-doublewood-25-year
BUNNAHABHAIN PX 14 YR DISTILLERY ONLY,Single Malt,"Islay , Scotland",3.96,nan,https://distiller.com/spirits/bunnahabhain-px-14-yr-distillery-only
GLENDRONACH 1993 25 YEAR HAND-FILLED MANAGER'S CASK 400,Single Malt,"Speyside, Scotland",5,nan,https://distiller.com/spirits/glendronach-1993-25-year-hand-filled-manager-s-cask-400
GLENTAUCHERS 7 YEAR - BATTLEHILL (DUNCAN TAYLOR),Single Malt,"Speysider , Scotland",1.75,nan,https://distiller.com/spirits/glentauchers-7-year-battlehill-duncan-taylor
LEDAIG 19 YEAR MASARLA FINISH,Single Malt,"Island, Scotland",4.5,nan,https://distiller.com/spirits/ledaig-19-year-masarla-finish
GLENROTHES 1997 19 YEAR UN-CHILLFILTERED COLLECTION (SIGNATORY),Single Malt,"Speyside, Scotland",3.96,nan,https://distiller.com/spirits/glenrothes-1997-19-year-vintage-signatory
GLENDRONACH 1990 27 YEAR SHERRY BUTT SINGLE CASK #2257,Single Malt,"Highlands, Scotland",4.29,nan,https://distiller.com/spirits/glendronach-1990-27-year-sherry-butt-single-cask-2257
BRUICHLADDICH 1985/32 BOURBON: HIDDEN GLORY,Single Malt,"Islay, Scotland",4.83,90,https://distiller.com/spirits/bruichladdich-1985-32-bourbon-hidden-glory
BRUICHLADDICH 1986/30 SHERRY: THE MAGNIFICENT SEVEN,Single Malt,"Islay, Scotland",4.63,95,https://distiller.com/spirits/bruichladdich-1986-30-sherry-the-magnificent-seven
BENRINNES 1997 17 YEAR CASK #9631 BERRYS' OWN (BERRY BROS & RUDD),Single Malt,"Speyside, Scotland",3.17,nan,https://distiller.com/spirits/benrinnes-1997-17-year-cask-9631-berrys-own-berry-bros-rudd
GLEN ORD 2004 11 YEAR CASK #142 CASK COLLECTION (A.D. RATTRAY),Single Malt,"Highlands, Scotland",2.38,nan,https://distiller.com/spirits/glen-ord-2004-11-year-cask-142-cask-collection-a-d-rattray
GLENBURGIE 15 YEAR DISTILLERY LABELS (GORDON & MACPHAIL),Single Malt,"Speyside, Scotland",3,nan,https://distiller.com/spirits/glenburgie-15-year-distillery-label-gordon-macphail
PITTYVAICH 1989 25 YEAR (2015 SPECIAL RELEASE),Single Malt,"Speyside, Scotland",4.13,nan,https://distiller.com/spirits/pittyvaich-1989-25-year-2015-special-release
OLD PULTENEY 1983 VINTAGE,Single Malt,"Highlands, Scotland",4.04,nan,https://distiller.com/spirits/old-pulteney-1983-vintage
HIGHLAND QUEEN MAJESTY,Single Malt,"Highland, Scotland",2.79,nan,https://distiller.com/spirits/highland-queen-majesty
GLEN GRANT 12 YEAR NON CHILL-FILTERED,Single Malt,"Speyside , Scotland",3.89,nan,https://distiller.com/spirits/glen-grant-12-ncf
MORTLACH 25 YEAR DISTILLERY LABELS (GORDON & MACPHAIL),Single Malt,"Speyside, Scotland",4.5,nan,https://distiller.com/spirits/mortlach-25-year-distillery-labels-gordon-macphail
ANCOC 12,Single Malt,"Highland, Scotland",3.04,nan,https://distiller.com/spirits/ancoc-12
GLENMORANGIE PORT WOOD FINISH,Single Malt,"Highland, Scotland",4.07,nan,https://distiller.com/spirits/glenmorangie-port-wood-finish
SPRINGBANK 25,Single Malt,"Campbeltown, Scotland",4.32,nan,https://distiller.com/spirits/springbank-25
HAMILTONS LOWLAND SINGLE MALT,Single Malt,"Lowlands, Scotland",2.63,nan,https://distiller.com/spirits/hamiltons-lowland-single-malt
GLENGOYNE PEDRO XIMÉNEZ SHERRY CASK FINISH,Single Malt,"Highland , Scotland",4.11,nan,https://distiller.com/spirits/glengoyne-pedro-ximenez-sherry-cask-finish
TOMATIN 36 YEAR,Single Malt,"Highlands , Scotland",4.39,nan,https://distiller.com/spirits/tomatin-36-year
BOWMORE 19 YEAR FRENCH OAK BARRIQUE,Single Malt,"Islay, Scotland",4,nan,https://distiller.com/spirits/bowmore-19-year-french-oak-barrique
THE MACALLAN AERA,Single Malt,"Highland, Scotland",3.21,nan,https://distiller.com/spirits/the-macallan-aera
TOMATIN FIVE VIRTUES SERIES WATER EDITION,Single Malt,"Highlands, Scotland",3.04,88,https://distiller.com/spirits/tomatin-five-virtues-series-water-edition
HAMILTONS SPEYSIDE SINGLE MALT,Single Malt,"Speyside , Scotland",3.82,nan,https://distiller.com/spirits/hamiltons-speyside-single-malt
GLEN GRANT 5 YEAR,Single Malt,"Speyside, Scotland",3.21,nan,https://distiller.com/spirits/glen-grant-5-year
SPRINGBANK 15 YEAR. SPRINGBANK SOCIETY - SEPTEMBER 2018,Single Malt,"Campbeltown, Scotland",4.21,nan,https://distiller.com/spirits/springbank-15-year-springbank-society-september-2018
BUNNAHABHAIN 1988 28 YEAR CASK STRENGTH (ALEXANDER MURRAY & CO.),Single Malt,"Islay, Scotland",3.86,nan,https://distiller.com/spirits/bunnahabhain-1988-28-year-cask-strength-alexander-murray-co
GLENMORANGIE A MIDWINTER NIGHT’S DRAM,Single Malt,"Highland, Scotland",4.29,nan,https://distiller.com/spirits/glenmorangie-a-midwinter-night-s-dram
TOBERMORY 2005 FINO CASK FINISH,Single Malt,"Islands, Scotland",3.86,90,https://distiller.com/spirits/tobermory-2005-fino-cask-finish
GLENALLACHIE 10 YEAR CASK STRENGTH BATCH 2,Single Malt,"Speyside, Scotland",3.54,nan,https://distiller.com/spirits/the-glenallachie-10-year-cask-strength-batch-2
BENROMACH CHÂTEAU CISSAC BORDEAUX WOOD FINISH 2010,Single Malt,"Speyside, Scotland",3.29,87,https://distiller.com/spirits/benromach-chateau-cissac-bordeaux-wood-finish-2010
THE GLENROTHES 25 YEAR,Single Malt,"Speyside, Scotland",4.05,90,https://distiller.com/spirits/the-glenrothes-25-year
FETTERCAIRN 7 YEAR - BATTLEHILL (DUNCAN TAYLOR),Single Malt,"Highlands , Scotland",2.93,nan,https://distiller.com/spirits/fettercairn-7-year-battlehill-duncan-taylor
BRAEVAL 1994 22 YEAR OLD (SAMAROLI),Single Malt,"Speyside, Scotland",4,nan,https://distiller.com/spirits/braeval-1994-22-year-old-samaroli
BOWMORE 15 YEAR FÈIS ÌLE 2018,Single Malt,"Islay, Scotland",4.25,nan,https://distiller.com/spirits/bowmore-feis-ile-2018
GLENALLACHIE 1989 28 YEAR 50TH ANNIVERSARY BOTTLING #986,Single Malt,"Speyside, Scotland",5,90,https://distiller.com/spirits/the-glenallachie-1989-28-year-50th-anniversary-bottling-986
GLENTURRET 11 YEAR THE MACPHAIL'S COLLECTION (GORDON & MACPHAIL),Single Malt,"Highland, Scotland",3.64,nan,https://distiller.com/spirits/glenturret-11-year-gordon-macphail
THE MACALLAN 2007 9 YEAR SPEYMALT (GORDON & MACPHAIL),Single Malt,"Speyside, Scotland",3.75,nan,https://distiller.com/spirits/the-macallan-2007-9-year-speymalt-gordon-macphail
EDRADOUR 2002 IBISCO DECANTER,Single Malt,"Highland, Scotland",4.07,nan,https://distiller.com/spirits/edradour-2002-ibisco-decanter
ARRAN SINGLE CASK SHERRY CASK 1997,Single Malt,"Arran, Scotland",3.79,nan,https://distiller.com/spirits/arran-single-cask-sherry-cask-1997
CRAIGELLACHIE 31 YEAR,Single Malt,"Speyside, Scotland",4.29,94,https://distiller.com/spirits/craigellachie-31-year
GLENTAUCHERS 2008 8 YEAR (THE EXCLUSIVE MALTS),Single Malt,"Speyside, Scotland",4.21,nan,https://distiller.com/spirits/glentauchers-2008-8-year-the-exclusive-malts
GLENDRONACH 14 YEAR VIRGIN OAK FINISH,Single Malt,"Highlands, Scotland",4.32,nan,https://distiller.com/spirits/glendronach-14-year-virgin-oak-finish
BEN NEVIS 1991 24 YEAR CASK STRENGTH COLLECTION (SIGNATORY),Single Malt,"Highlands, Scotland",4.61,nan,https://distiller.com/spirits/ben-nevis-1991-24-year-cask-strength-collection-signatory
EDRADOUR 2002 STRAIGHT FROM THE CASK BAROLO CASK FINISH 12 YEAR,Single Malt,"Highlands, Scotland",3.54,nan,https://distiller.com/spirits/edradour-2002-straight-from-the-cask-barolo-cask-finish-12-year
THE MACALLAN 1970 SPEYMALT (GORDON & MACPHAIL),Single Malt,"Speyside, Scotland",4.39,nan,https://distiller.com/spirits/the-macallan-1970-speymalt-gordon-macphail
CLYNELISH SELECT RESERVE (2015 SPECIAL RELEASE),Single Malt,"Highlands, Scotland",3.86,87,https://distiller.com/spirits/clynelish-select-reserve-2015-release
ROSEBANK 12 YEAR FLORA & FAUNA,Single Malt,"Lowlands, Scotland",4.25,nan,https://distiller.com/spirits/rosebank-12-year-flora-fauna
GLEN GRANT FIVE DECADES,Single Malt,"Speyside, Scotland",4.21,92,https://distiller.com/spirits/glen-grant-five-decades
BLADNOCH 11 YEAR,Single Malt,"Lowlands, Scotland",3.61,nan,https://distiller.com/spirits/bladnoch-11-year
BLADNOCH 21 YEAR,Single Malt,"Lowlands, Scotland",3.71,nan,https://distiller.com/spirits/bladnoch-21-year
THE GLENLIVET SINGLE CASK PULLMAN CLUB CAR,Single Malt,"Speyside, Scotland",4.57,93,https://distiller.com/spirits/the-glenlivet-single-cask-pullman-club-car
BRUICHLADDICH BERE BARLEY 2006 KYNAGARRY FARM,Single Malt,"Islay, Scotland",2.96,nan,https://distiller.com/spirits/bruichladdich-bere-barley-2006-kynagarry-farm
GLENKINCHIE 20 YEAR,Single Malt,"Lowlands, Scotland",4.27,84,https://distiller.com/spirits/glenkinchie-20-year
GLEN PARKER SINGLE MALT,Single Malt,"Speyside, Scotland",2.86,nan,https://distiller.com/spirits/glen-parker-single-malt
ARRAN 17 YEAR,Single Malt,"Islands, Scotland",4.11,80,https://distiller.com/spirits/arran-17-year
BALBLAIR 1969 1ST RELEASE,Single Malt,"Highlands, Scotland",5,nan,https://distiller.com/spirits/balblair-1969-1st-release
LITTLEMILL 25 YEAR (2015 RELEASE),Single Malt,"Lowlands, Scotland",4.32,90,https://distiller.com/spirits/littlemill-25-year-2015-release
BENROMACH CHATEAU CISSAC WOOD FINISH 2006,Single Malt,"Speyside, Scotland",3.54,nan,https://distiller.com/spirits/benromach-chateau-cissac-wood-finish
GLENDRONACH 33 YEAR,Single Malt,"Highlands, Scotland",4.93,nan,https://distiller.com/spirits/glendronach-33-year
THE MACALLAN 1972 SPEYMALT (GORDON & MACPHAIL),Single Malt,"Highlands, Scotland",4.3,nan,https://distiller.com/spirits/the-macallan-1972-speymalt-gordon-macphail
TOMATIN DECADES,Single Malt,"Highlands, Scotland",4.45,nan,https://distiller.com/spirits/tomatin-decades
LAPHROAIG 15 YEAR CHIEFTAIN'S (IAN MACLEOD),Single Malt,"Islay, Scotland",4.16,nan,https://distiller.com/spirits/chieftain-s-laphroaig-15-year
"TOMATIN CUATRO SERIES #4 ""PEDRO XIMENEZ"" 12 YEAR",Single Malt,"Highlands, Scotland",3.99,nan,https://distiller.com/spirits/tomatin-cuatro-series-4-pedro-ximenez-12-year
HAZELBURN 10 YEAR OLD RUNDLETS & KILDERKINS 2003,Single Malt,"Campbeltown, Scotland",4.18,nan,https://distiller.com/spirits/hazelburn-10-year-old-rundlets-kilderkins-2003
GLENMORANGIE TAGHTA,Single Malt,"Highlands, Scotland",3.88,84,https://distiller.com/spirits/glenmorangie-taghta
AUCHENTOSHAN SOLERA,Single Malt,"Lowlands, Scotland",3.89,nan,https://distiller.com/spirits/auchentoshan-solera
AUCHENTOSHAN COOPER'S RESERVE 14 YEAR,Single Malt,"Lowlands, Scotland",3.45,nan,https://distiller.com/spirits/auchentoshan-cooper-s-reserve-14-year
GLENDRONACH OCTARINE 8 YEAR,Single Malt,"Highlands, Scotland",3.41,nan,https://distiller.com/spirits/glendronach-octarine-8-year
"THE BALVENIE TUN 1401, BATCH 9",Single Malt,"Speyside, Scotland",4.7,90,https://distiller.com/spirits/the-balvenie-tun-1401-batch-9
GLEN SPEY 21 YEAR,Single Malt,"Speyside, Scotland",3.77,94,https://distiller.com/spirits/glen-spey-21-year
KILKERRAN 8 CASK STRENGTH (2021),Single Malt,"Campbeltown , Scotland",4,nan,https://distiller.com/spirits/kilkerran-8-cask-strength-2021
BRUICHLADDICH ISLAY BARLEY 2012,Single Malt,"Islay, Scotland",3.8,nan,https://distiller.com/spirits/bruichladdich-islay-barley-2012
ABERLOUR DOUBLE CASK 12 YEAR,Single Malt,"Highland , Scotland",3.79,nan,https://distiller.com/spirits/aberlour-double-cask-12-year
MORTLACH 16 YEAR FLORA & FAUNA,Single Malt,"Speyside, Scotland",3.25,nan,https://distiller.com/spirits/mortlach-16
TOMATIN 18,Single Malt,"Highland, Scotland",3.63,nan,https://distiller.com/spirits/tomatin-18
BRUICHLADDICH ISLAY BARLEY WE BELIEVE TERROIR MATTERS,Single Malt,"Islay, Scotland",3.88,nan,https://distiller.com/spirits/bruichladdich-islay-barley-we-believe-terroir-matters
OBAN DISTILLERY EXCLUSIVE BOTTLING BATCH 01,Single Malt,"West Highland, Scotland",3.95,nan,https://distiller.com/spirits/oban-distillery-exclusice-bottling
GLENALLACHIE 10 YEAR PORT WOOD FINISH,Single Malt,"Speyside, Scotland",3.55,84,https://distiller.com/spirits/glenallachie-10-year-port-wood-finish
GLENGOYONE CASK STRENGTH BATCH 5,Single Malt,"Highland, Scotland",3.61,nan,https://distiller.com/spirits/glengoyone-cask-strength-batch-5
GRANGESTONE 25YR SINGLE MALT SHERRY CASK FINISH,Single Malt,"Highland, Scotland",4.25,nan,https://distiller.com/spirits/grangestone-25yr-single-malt-sherry-cask-finish
GLEN MARNOCH ISLAY,Single Malt,"Islay, Scotland",3.13,nan,https://distiller.com/spirits/glen-marnoch-islay
THE SINGLETON OF GLENDULLAN DOUBLE MATURED,Single Malt,Scotland,3.7,nan,https://distiller.com/spirits/the-singleton-of-glendullan-double-matured
GLENDRONACH 2003 11 YEAR SINGLE CASK PEDRO XIMENEZ,Single Malt,"Highlands, Scotland",4.18,nan,https://distiller.com/spirits/2003-glendronach-11-year-single-cask-pedro-ximenez
